S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30
buffer_test_bin.36	0.9990984	0.99947286	0.9995334	0.99921405	0.99952525	0.99932694	0.99830616	0.9982099	0.9985419	0.999191	0.84421164	0.99827087	0.89697325	0.8423872	0.97538733	0.3920434	0.9310892	0.4592784	0.44993365	0.85754937	0.9988586	0.9988802	0.9990004	0.9992176	0.9967577	0.99181837	0.98636276	0.99718815	0.99662536	0.9975875
buffer_test_bin.37	0.21586248	0.23187043	0.33339843	0.25573453	0.2869796	0.19783603	0.15018047	0.11821803	0.13201767	0.2522453	0.7453004	0.9830297	0.7569192	0.84745777	0.69529474	0.8809656	0.8593646	0.8966758	0.9144841	0.84852284	0.30064324	0.20230162	0.23474814	0.31676593	0.32720038	0.18897748	0.19363046	0.22080666	0.21082033	0.34073693
buffer_test_bin.38	0.8521558	0.90802455	0.94182247	0.90988326	0.9206438	0.9566495	0.8100693	0.8051429	0.8367075	0.9490047	0.17738163	0.70434064	0.24454646	0.2100698	0.3757489	0.086371	0.30522886	0.11366436	0.13210464	0.23220463	0.8033752	0.7427011	0.8299774	0.83628064	0.748126	0.59764785	0.52573717	0.7890339	0.7310899	0.80571127
buffer_test_bin.39	0.12988645	0.14465085	0.18809524	0.14238511	0.16408917	0.10846777	0.0792354	0.06485204	0.068113744	0.13797817	0.41554698	0.83588874	0.54235464	0.5480298	0.2949658	0.34468028	0.2252191	0.3242707	0.30902645	0.33484837	0.07196777	0.07074056	0.1012979	0.08230842	0.09738553	0.059006613	0.05363999	0.05511527	0.051478833	0.10616313
buffer_test_bin.3	0.9116489	0.941737	0.9700579	0.9389771	0.9525585	0.9683185	0.89700985	0.86013687	0.88806534	0.9699793	0.2683957	0.8217245	0.3866261	0.32592916	0.5256621	0.91861975	0.9250355	0.9302809	0.9232929	0.92497784	0.9127927	0.85720265	0.91839147	0.93338066	0.9527854	0.8628912	0.8481498	0.954223	0.9436679	0.9759761
buffer_test_bin.40	0.1976242	0.23763788	0.30404183	0.24781871	0.2671515	0.30004132	0.16497736	0.17240334	0.17671666	0.26504755	0.23152614	0.55258	0.46371174	0.45727217	0.44298285	0.3309827	0.4504024	0.39034975	0.46095902	0.23999766	0.21068628	0.16819757	0.21869116	0.23366265	0.22564192	0.15086888	0.13455746	0.22274353	0.196205	0.2455532
buffer_test_bin.41	0.5177262	0.5968175	0.6799503	0.59816384	0.6304645	0.67647105	0.4582889	0.4321001	0.46707782	0.64767915	0.09184617	0.41867733	0.14947304	0.1226656	0.19192399	0.41559017	0.4532173	0.4687897	0.46875253	0.4782698	0.48494267	0.4035368	0.5161058	0.53469247	0.4889691	0.3374989	0.30866954	0.48717904	0.44229555	0.54079366
buffer_test_bin.42	0.9964034	0.9967979	0.997668	0.99662864	0.99733955	0.9966508	0.99653	0.9966002	0.99690866	0.99698347	0.6960481	0.99576855	0.84885025	0.7906888	0.9612647	0.6273718	0.94756866	0.70707613	0.75218636	0.85435593	0.9964293	0.99576145	0.99670094	0.99650747	0.9964481	0.9961664	0.9959888	0.9965208	0.99621034	0.99661195
buffer_test_bin.43	0.80381286	0.8295768	0.9110478	0.84318745	0.871478	0.74936366	0.61945546	0.5292734	0.55457366	0.783062	0.84703916	0.98961014	0.9707603	0.9638143	0.96725655	0.9710572	0.9744849	0.97194606	0.9744059	0.90665644	0.9464751	0.87646276	0.9128121	0.95935446	0.8934317	0.7363778	0.7530901	0.84550756	0.847905	0.9431036
buffer_test_bin.44	0.28081906	0.33919844	0.401113	0.3386655	0.36759636	0.3549099	0.21087243	0.18882664	0.20761263	0.33133695	0.04440061	0.20963718	0.062597826	0.05055502	0.08104888	0.10394353	0.16003299	0.13589686	0.14439297	0.108622566	0.2501808	0.20054324	0.2809519	0.28669342	0.21681072	0.14153017	0.121444374	0.20748103	0.18331215	0.23762281
buffer_test_bin.45	0.5554924	0.61478746	0.70270294	0.59897983	0.6457004	0.699243	0.5138902	0.4642055	0.5012907	0.7119852	0.07851802	0.4002363	0.12117933	0.09951731	0.18055722	0.16567042	0.27477428	0.20306185	0.22791775	0.15817207	0.5675989	0.45747122	0.56892604	0.6077	0.616641	0.42726853	0.41065922	0.58469075	0.5503757	0.65615827
buffer_test_bin.46	0.7238088	0.78971386	0.8463088	0.8012404	0.8106434	0.87556213	0.6938575	0.64450324	0.6920278	0.8642682	0.11279257	0.54252285	0.15789789	0.13294353	0.2478969	0.039414205	0.1828785	0.04969318	0.052362368	0.13052286	0.6531801	0.58149385	0.7068748	0.70833576	0.59259003	0.43915626	0.40057552	0.61152	0.55518454	0.655894
buffer_test_bin.47	0.9164161	0.91643995	0.97003406	0.9338154	0.96266204	0.7810782	0.6622251	0.5469324	0.5931643	0.8393276	0.99925476	0.99968296	0.99920475	0.9991367	0.9990261	0.9989668	0.9947973	0.9984496	0.9979598	0.9970679	0.7980546	0.7425482	0.8813168	0.84809417	0.83129406	0.6171486	0.6103571	0.6183342	0.5917588	0.8331272
buffer_test_bin.48	0.23063768	0.24578473	0.3329874	0.23750465	0.28083363	0.22202012	0.14880244	0.12247212	0.13697474	0.24209008	0.16734105	0.48481297	0.31084183	0.32431567	0.25952595	0.18723732	0.19713473	0.18776783	0.2050296	0.15049458	0.19504708	0.15424125	0.20772558	0.23195535	0.16974856	0.10134072	0.10034891	0.13446878	0.12850162	0.19222213
buffer_test_bin.49	0.9439341	0.978391	0.9262815	0.963948	0.9818244	0.9001515	0.748039	0.7904263	0.8157581	0.9016101	0.08878441	0.6526963	0.08679019	0.07334108	0.16560386	0.020909825	0.119745046	0.0266935	0.030165382	0.13747998	0.31600988	0.2889805	0.44590676	0.4334645	0.07358392	0.07162401	0.06697145	0.069024004	0.06529746	0.07323014
buffer_test_bin.4	0.9160651	0.9577365	0.97596794	0.95475924	0.95795983	0.99338096	0.942707	0.929575	0.9598435	0.9923878	0.23508374	0.7934432	0.356799	0.30981636	0.5121945	0.12923087	0.456177	0.1868061	0.22951616	0.31339818	0.88378525	0.82434994	0.9020386	0.9108468	0.9147651	0.79947686	0.7496082	0.9408391	0.9131289	0.95263207
buffer_test_bin.50	0.43260595	0.50513184	0.58108544	0.47548145	0.5323888	0.3289423	0.1851442	0.18974	0.19612153	0.29192105	0.60955024	0.94829327	0.76331365	0.79804456	0.66139555	0.52160585	0.49575865	0.54724216	0.532412	0.51565045	0.42603147	0.3381372	0.44477928	0.4542773	0.245231	0.16815801	0.13608675	0.20696974	0.1972518	0.27105552
